nom;y_lat;nature;domanialite;Timestamp;RowKey;nombre_de_places;x_long;num_quartier;PartitionKey;cle;entityid;geometrie;id;geo_point_2d
pont st emilion sud;44.8528066359717;Surface gratuit;Domaine public;2019-01-06T07:36:26.2627683Z;e7864b70-c86b-4cc8-9117-9d27a86496f2;34;-0.538736357420715;7;7fa67548-9cc1-4e17-bccb-6520ef13836a;5122;7fa67548-9cc1-4e17-bccb-6520ef13836a;"{""type"": ""Point"", ""coordinates"": [-0.538736357420715, 44.8528066359717]}";19;44.852806636,-0.538736357421
Tauzin;44.8195170005974;Surface gratuit;Domaine public;2019-01-06T07:36:25.8424581Z;91765fdc-2195-463f-b163-e9b3706c6413;50;-0.601929645920083;4;80828f6e-2f8e-4ec0-ad02-b2babacac5f9;5135;80828f6e-2f8e-4ec0-ad02-b2babacac5f9;"{""type"": ""Point"", ""coordinates"": [-0.601929645920083, 44.8195170005974]}";6;44.8195170006,-0.60192964592
Paludate;44.8292068319178;Surface gratuit;CUB;2019-01-06T07:36:25.797456Z;8d2d53db-1fef-4d55-8988-71a3e19e890f;100;-0.553665678214906;6;91eeda63-39b5-433a-94fa-96e94f14fc8e;5101;91eeda63-39b5-433a-94fa-96e94f14fc8e;"{""type"": ""Point"", ""coordinates"": [-0.553665678214906, 44.8292068319178]}";3;44.8292068319,-0.553665678215
medoquine;44.8191529136854;Surface gratuit;Domaine public;2019-01-06T07:36:25.9737597Z;bef85d5c-8de2-4b86-ab4f-4a152d853365;25;-0.599805638666571;4;9efc70dc-87d4-46c9-9de3-9cedc3d3ae01;5090;9efc70dc-87d4-46c9-9de3-9cedc3d3ae01;"{""type"": ""Point"", ""coordinates"": [-0.599805638666571, 44.8191529136854]}";38;44.8191529137,-0.599805638667
Bonnefin;44.8448545499866;Surface gratuit;CUB;2019-01-06T07:36:26.0528067Z;11c5c658-b9ff-4093-a1ed-7c9c519526a2;12;-0.550962545072607;7;a3875383-22c4-437a-b8bb-59d2d4ad8d1f;5111;a3875383-22c4-437a-b8bb-59d2d4ad8d1f;"{""type"": ""Point"", ""coordinates"": [-0.550962545072607, 44.8448545499866]}";37;44.84485455,-0.550962545073
counord;44.8561652390615;Surface gratuit;CUB;2019-01-06T07:36:26.0078043Z;5a0ca871-2bab-48a5-905b-d9f1019309c4;84;-0.57511756330388;2;aaa97dcd-ee27-487a-8186-45ceea8a2667;5110;aaa97dcd-ee27-487a-8186-45ceea8a2667;"{""type"": ""Point"", ""coordinates"": [-0.57511756330388, 44.8561652390615]}";36;44.8561652391,-0.575117563304
Victor Hugo;44.8352510127935;Ouvrage Ville;Ville;2019-01-06T07:36:26.3544851Z;448dd7f2-e9d3-49ee-b486-420c3dccb153;740;-0.572389747451541;3;b1cf994f-727c-4ca5-abd2-7f3dc2fac117;5124;b1cf994f-727c-4ca5-abd2-7f3dc2fac117;"{""type"": ""Point"", ""coordinates"": [-0.572389747451541, 44.8352510127935]}";27;44.8352510128,-0.572389747452
daunes doumerc;44.8337151577267;Surface payant;CUB;2019-01-06T07:36:25.9118042Z;c362f5a7-c2c1-4b4a-904d-094a99537f99;25;-0.601948907416365;4;b355670c-9076-49ca-84cd-6ace8b848fb2;5120;b355670c-9076-49ca-84cd-6ace8b848fb2;"{""type"": ""Point"", ""coordinates"": [-0.601948907416365, 44.8337151577267]}";31;44.8337151577,-0.601948907416
charles de gaulle crama;44.8483248151159;Surface payant;Ville;2019-01-06T07:36:26.0617621Z;1a54f844-ff07-4472-a951-f9ef37dc49ab;20;-0.598390015972261;8;bca5e55e-e8c0-4df7-96e8-8e4976671981;5091;bca5e55e-e8c0-4df7-96e8-8e4976671981;"{""type"": ""Point"", ""coordinates"": [-0.598390015972261, 44.8483248151159]}";44;44.8483248151,-0.598390015972
Allées de Chartres;44.8470366962219;Surface payant;Ville;2019-01-06T07:36:26.1582255Z;2f16aabb-aaec-416a-aaba-53e88e897b2d;395;-0.572117649985669;3;c438a9fa-c9ac-4220-904a-bd628c54428f;5153;c438a9fa-c9ac-4220-904a-bd628c54428f;"{""type"": ""Point"", ""coordinates"": [-0.572117649985669, 44.8470366962219]}";4;44.8470366962,-0.572117649986
masson;44.854760508628;Surface gratuit;Domaine public;2019-01-06T07:36:25.6234518Z;9de312d1-2809-418f-af26-8f73d3d7e1fa;27;-0.61487332793275;8;df475a4b-eeed-44b2-ac90-9a87d6e2a2f6;5094;df475a4b-eeed-44b2-ac90-9a87d6e2a2f6;"{""type"": ""Point"", ""coordinates"": [-0.61487332793275, 44.854760508628]}";21;44.8547605086,-0.614873327933
Capucins;44.830394672323;Ouvrage Ville;Ville;2019-01-06T07:36:26.308469Z;d2b72c12-ac37-437b-83d5-194bf253a9ff;472;-0.567758442131153;6;f15742fe-46b3-417c-ab06-bad3f06ec006;5150;f15742fe-46b3-417c-ab06-bad3f06ec006;"{""type"": ""Point"", ""coordinates"": [-0.567758442131153, 44.830394672323]}";8;44.8303946723,-0.567758442131
cc europe;44.8592365877404;Surface payant;Domaine public;2019-01-06T07:36:25.7839576Z;c6fca18f-6dd9-404c-a127-925066e93067;67;-0.582640908746144;2;f3df2e74-8ba5-465a-9732-5bd519b16c34;5141;f3df2e74-8ba5-465a-9732-5bd519b16c34;"{""type"": ""Point"", ""coordinates"": [-0.582640908746144, 44.8592365877404]}";27;44.8592365877,-0.582640908746
